"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","AAC1","ProAla_vs_Ctrl",0.0732263105691307,0.11046389954721,0.662898113042221,15,0.517453557831914,0.80141575656332,NA,0.0555555555555556,0.0555555555555556
"2","AAC1","ProSer_vs_Ctrl",-0.414107418934089,0.11046389954721,-3.74880318938143,15,0.00193568741866779,0.00932092747825845,NA,0.0277777777777778,0.0277777777777778
"3","AAC1","ArgSer_vs_Ctrl",-0.0471692147132359,0.11046389954721,-0.42701022602481,15,0.67543768057015,0.852148928372976,NA,0.111111111111111,0.111111111111111
"4","AAC3","ProAla_vs_Ctrl",-0.0133204670724704,0.13076797239008,-0.101863375481081,15,0.920214337944786,0.974912991728262,NA,0.1,0.1
"5","AAC3","ProSer_vs_Ctrl",0.394445074637597,0.13076797239008,3.01637371466592,15,0.00867843107233757,0.0301572284465103,NA,0.0666666666666667,0.0666666666666667
"6","AAC3","ArgSer_vs_Ctrl",-0.0700514115241286,0.13076797239008,-0.535692419510533,15,0.600024756409405,0.808423765698858,NA,0.0333333333333333,0.0333333333333333
"7","AAH1","ProAla_vs_Ctrl",-0.119402619900815,0.043959352306467,-2.71620516763732,15,0.0159322794255394,0.141243159137825,NA,0.0507246376811594,0.0507246376811594
"8","AAH1","ProSer_vs_Ctrl",-0.251968742863539,0.043959352306467,-5.73185749205116,15,3.96796873087801e-05,0.000395038912257666,NA,0.0797101449275363,0.0797101449275362
"9","AAH1","ArgSer_vs_Ctrl",-0.0227338724549686,0.043959352306467,-0.517156674567841,15,0.612588247268325,0.818344401628117,NA,0.0905797101449275,0.0905797101449275
"10","AAP1","ProAla_vs_Ctrl",0.0369730447472231,0.0256999783631093,1.43864108462813,15,0.170790666453107,0.484043739779359,NA,0.0363636363636364,0.0363636363636364
"11","AAP1","ProSer_vs_Ctrl",0.0767384959022147,0.0256999783631093,2.98593620655993,15,0.00923333453026598,0.0315739896002356,NA,0.0378787878787878,0.0378787878787879
"12","AAP1","ArgSer_vs_Ctrl",-0.0799858429184657,0.0256999783631093,-3.11229222796858,15,0.00713576058003662,0.0665769282576144,NA,0.0333333333333333,0.0333333333333333
"13","AAR2","ProAla_vs_Ctrl",0.239372328588421,0.235689217178451,1.01562698308417,15,0.325909942556317,0.65237321268913,NA,0.233333333333333,0.233333333333333
"14","AAR2","ProSer_vs_Ctrl",0.501930596960193,0.235689217178451,2.12962902150996,15,0.0501723375824525,0.117154416939552,NA,0.2,0.2
"15","AAR2","ArgSer_vs_Ctrl",-0.00709033801722129,0.235689217178451,-0.0300834213041357,15,0.97639714648512,0.988951971916529,NA,0.166666666666667,0.166666666666667
